Date,Time,Day,Special,Congestion,Drving Speed,Stops,Weather,Distance,Travel Time
1/1/2019,6,Sunday,No,5,40,14,25,14.7,56
1/2/2019,7,Sunday,No,8,40,14,27,14.7,55
1/3/2019,8,Sunday,No,9,40,14,28,14.7,55
1/4/2019,9,Sunday,No,7,40,14,29,14.7,56
1/5/2019,10,Sunday,No,6,40,14,29,14.7,56
1/6/2019,11,Sunday,No,4,40,14,30,14.7,56
1/7/2019,12,Sunday,No,4,40,14,30,14.7,56
1/8/2019,13,Sunday,No,4,40,14,30,14.7,56
1/9/2019,14,Sunday,No,8,40,14,30,14.7,56
1/10/2019,15,Sunday,No,8,40,14,29,14.7,56
1/11/2019,16,Sunday,Yes,6,40,14,29,14.7,56
1/12/2019,17,Sunday,No,7,40,14,28,14.7,56
1/13/2019,18,Sunday,No,8,40,14,27,14.7,56
1/14/2019,19,Sunday,No,9,40,14,27,14.7,71
1/15/2019,20,Sunday,No,6,40,14,26,14.7,73
1/16/2019,21,Sunday,No,6,40,14,26,14.7,72
1/17/2019,22,Sunday,No,5,40,14,25,14.7,75
1/18/2019,6,Monday,No,5,40,14,25,14.7,56
1/19/2019,7,Monday,No,8,40,14,27,14.7,55
1/20/2019,8,Monday,No,9,40,14,28,14.7,55
1/21/2019,9,Monday,No,7,40,14,29,14.7,56
1/22/2019,10,Monday,No,6,40,14,29,14.7,56
1/23/2019,11,Monday,No,4,40,14,30,14.7,56
1/24/2019,12,Monday,No,4,40,14,30,14.7,56
1/25/2019,13,Monday,No,4,40,14,30,14.7,56
1/26/2019,14,Monday,No,8,40,14,30,14.7,56
1/27/2019,15,Monday,No,8,40,14,29,14.7,56
1/28/2019,16,Monday,Yes,6,40,14,29,14.7,56
1/29/2019,17,Monday,No,7,40,14,28,14.7,56
1/30/2019,18,Monday,No,8,40,14,27,14.7,56
1/31/2019,19,Monday,No,9,40,14,27,14.7,71
2/1/2019,20,Monday,No,6,40,14,26,14.7,73
2/2/2019,21,Monday,No,6,40,14,26,14.7,72
2/3/2019,22,Monday,No,5,40,14,25,14.7,75
2/4/2019,6,Tuesday,No,5,40,14,25,14.7,56
2/5/2019,7,Tuesday,No,8,40,14,27,14.7,55
2/6/2019,8,Tuesday,No,9,40,14,28,14.7,55
2/7/2019,9,Tuesday,No,7,40,14,29,14.7,56
2/8/2019,10,Tuesday,No,6,40,14,29,14.7,56
2/9/2019,11,Tuesday,No,4,40,14,30,14.7,56
2/10/2019,12,Tuesday,No,4,40,14,30,14.7,56
2/11/2019,13,Tuesday,No,4,40,14,30,14.7,56
2/12/2019,14,Tuesday,No,8,40,14,30,14.7,56
2/13/2019,15,Tuesday,No,8,40,14,29,14.7,56
2/14/2019,16,Tuesday,Yes,6,40,14,29,14.7,56
2/15/2019,17,Tuesday,No,7,40,14,28,14.7,56
2/16/2019,18,Tuesday,No,8,40,14,27,14.7,56
2/17/2019,19,Tuesday,No,9,40,14,27,14.7,71
2/18/2019,20,Tuesday,No,6,40,14,26,14.7,73
2/19/2019,21,Tuesday,No,6,40,14,26,14.7,72
2/20/2019,22,Tuesday,No,5,40,14,25,14.7,75
2/21/2019,6,Sunday,No,7,40,0,25,1.2,9
2/22/2019,6,Sunday,No,9,40,0,25,1.2,11
2/23/2019,6,Sunday,No,3,40,1,25,1.2,8
2/24/2019,6,Sunday,No,2,40,0,25,1.2,3
2/25/2019,6,Sunday,No,2,40,1,25,3,3
2/26/2019,17,Sunday,No,9,40,1,25,3,12
2/27/2019,17,Sunday,No,9,40,4,25,4.7,19
2/28/2019,17,Sunday,No,3,40,4,25,4.7,12
3/1/2019,17,Sunday,No,6,40,4,25,4.7,15
3/2/2019,6,Sunday,No,7,40,9,25,7.5,34
3/3/2019,6,Sunday,No,9,40,9,25,7.5,39
3/4/2019,6,Sunday,No,5,40,9,25,7.5,30
3/5/2019,6,Monday,No,5,40,12,25,10.1,36
3/6/2019,6,Monday,No,9,40,12,25,10.1,43
3/7/2019,6,Monday,No,3,40,12,25,10.1,33
3/8/2019,13,Monday,No,5,40,12,25,10.1,36
3/9/2019,13,Monday,No,9,40,12,25,10.1,43
3/10/2019,13,Monday,No,3,40,12,25,10.1,33
3/11/2019,6,Monday,No,5,40,12,25,12.1,43
3/12/2019,6,Monday,No,9,40,12,25,12.1,49
3/13/2019,6,Monday,No,3,40,12,25,12.1,40
3/14/2019,12,Monday,No,5,40,12,25,12.1,43
3/15/2019,12,Monday,No,9,40,12,25,12.1,49
3/16/2019,12,Monday,No,3,40,12,25,12.1,40
3/17/2019,6,Sunday,No,5,40,14,25,14.7,56
3/18/2019,7,Sunday,No,8,40,14,27,14.7,55
3/19/2019,8,Sunday,No,9,40,14,28,14.7,55
3/20/2019,9,Sunday,No,7,40,14,29,14.7,56
3/21/2019,10,Sunday,No,6,40,14,29,14.7,56
3/22/2019,11,Sunday,No,4,40,14,30,14.7,56
3/23/2019,12,Sunday,No,4,40,14,30,14.7,56
3/24/2019,13,Sunday,No,4,40,14,30,14.7,56
3/25/2019,14,Sunday,No,8,40,14,30,14.7,56
3/26/2019,15,Sunday,No,8,40,14,29,14.7,56
3/27/2019,16,Sunday,Yes,6,40,14,29,14.7,56
3/28/2019,17,Sunday,No,7,40,14,28,14.7,56
3/29/2019,18,Sunday,No,8,40,14,27,14.7,56
3/30/2019,19,Sunday,No,9,40,14,27,14.7,71
3/31/2019,20,Sunday,No,6,40,14,26,14.7,73
4/1/2019,21,Sunday,No,6,40,14,26,14.7,72
4/2/2019,22,Sunday,No,5,40,14,25,14.7,75
4/3/2019,6,Monday,No,5,40,14,25,14.7,56
4/4/2019,7,Monday,No,8,40,14,27,14.7,55
4/5/2019,8,Monday,No,9,40,14,28,14.7,55
4/6/2019,9,Monday,No,7,40,14,29,14.7,56
4/7/2019,10,Monday,No,6,40,14,29,14.7,56
4/8/2019,11,Monday,No,4,40,14,30,14.7,56
4/9/2019,12,Monday,No,4,40,14,30,14.7,56
4/10/2019,13,Monday,No,4,40,14,30,14.7,56
4/11/2019,14,Monday,No,8,40,14,30,14.7,56
4/12/2019,15,Monday,No,8,40,14,29,14.7,56
4/13/2019,16,Monday,Yes,6,40,14,29,14.7,56
4/14/2019,17,Monday,No,7,40,14,28,14.7,56
4/15/2019,18,Monday,No,8,40,14,27,14.7,56
4/16/2019,19,Monday,No,9,40,14,27,14.7,71
4/17/2019,20,Monday,No,6,40,14,26,14.7,73
4/18/2019,21,Monday,No,6,40,14,26,14.7,72
4/19/2019,22,Monday,No,5,40,14,25,14.7,75
4/20/2019,6,Tuesday,No,5,40,14,25,14.7,56
4/21/2019,7,Tuesday,No,8,40,14,27,14.7,55
4/22/2019,8,Tuesday,No,9,40,14,28,14.7,55
4/23/2019,9,Tuesday,No,7,40,14,29,14.7,56
4/24/2019,10,Tuesday,No,6,40,14,29,14.7,56
4/25/2019,11,Tuesday,No,4,40,14,30,14.7,56
4/26/2019,12,Tuesday,No,4,40,14,30,14.7,56
4/27/2019,13,Tuesday,No,4,40,14,30,14.7,56
4/28/2019,14,Tuesday,No,8,40,14,30,14.7,56
4/29/2019,15,Tuesday,No,8,40,14,29,14.7,56
4/30/2019,16,Tuesday,Yes,6,40,14,29,14.7,56
5/1/2019,17,Tuesday,No,7,40,14,28,14.7,56
5/2/2019,18,Tuesday,No,8,40,14,27,14.7,56
5/3/2019,19,Tuesday,No,9,40,14,27,14.7,71
5/4/2019,20,Tuesday,No,6,40,14,26,14.7,73
5/5/2019,21,Tuesday,No,6,40,14,26,14.7,72
5/6/2019,22,Tuesday,No,5,40,14,25,14.7,75
5/7/2019,6,Sunday,No,7,40,0,25,1.2,9
5/8/2019,6,Sunday,No,9,40,0,25,1.2,11
5/9/2019,6,Sunday,No,3,40,1,25,1.2,8
5/10/2019,6,Sunday,No,2,40,0,25,1.2,3
5/11/2019,6,Sunday,No,2,40,1,25,3,3
5/12/2019,17,Sunday,No,9,40,1,25,3,12
5/13/2019,17,Sunday,No,9,40,4,25,4.7,19
5/14/2019,17,Sunday,No,3,40,4,25,4.7,12
5/15/2019,17,Sunday,No,6,40,4,25,4.7,15
5/16/2019,6,Sunday,No,7,40,9,25,7.5,34
5/17/2019,6,Sunday,No,9,40,9,25,7.5,39
5/18/2019,6,Sunday,No,5,40,9,25,7.5,30
5/19/2019,6,Monday,No,5,40,12,25,10.1,36
5/20/2019,6,Monday,No,9,40,12,25,10.1,43
5/21/2019,6,Monday,No,3,40,12,25,10.1,33
5/22/2019,13,Monday,No,5,40,12,25,10.1,36
5/23/2019,13,Monday,No,9,40,12,25,10.1,43
5/24/2019,13,Monday,No,3,40,12,25,10.1,33
5/25/2019,6,Monday,No,5,40,12,25,12.1,43
5/26/2019,6,Monday,No,9,40,12,25,12.1,49
5/27/2019,6,Monday,No,3,40,12,25,12.1,40
5/28/2019,12,Monday,No,5,40,12,25,12.1,43
5/29/2019,12,Monday,No,9,40,12,25,12.1,49
5/30/2019,12,Monday,No,3,40,12,25,12.1,40
5/31/2019,6,Sunday,No,5,40,14,25,14.7,56
6/1/2019,7,Sunday,No,8,40,14,27,14.7,55
6/2/2019,8,Sunday,No,9,40,14,28,14.7,55
6/3/2019,9,Sunday,No,7,40,14,29,14.7,56
6/4/2019,10,Sunday,No,6,40,14,29,14.7,56
6/5/2019,11,Sunday,No,4,40,14,30,14.7,56
6/6/2019,12,Sunday,No,4,40,14,30,14.7,56
6/7/2019,13,Sunday,No,4,40,14,30,14.7,56
6/8/2019,14,Sunday,No,8,40,14,30,14.7,56
6/9/2019,15,Sunday,No,8,40,14,29,14.7,56
6/10/2019,16,Sunday,Yes,6,40,14,29,14.7,56
6/11/2019,17,Sunday,No,7,40,14,28,14.7,56
6/12/2019,18,Sunday,No,8,40,14,27,14.7,56
6/13/2019,19,Sunday,No,9,40,14,27,14.7,71
6/14/2019,20,Sunday,No,6,40,14,26,14.7,73
6/15/2019,21,Sunday,No,6,40,14,26,14.7,72
6/16/2019,22,Sunday,No,5,40,14,25,14.7,75
6/17/2019,6,Monday,No,5,40,14,25,14.7,56
6/18/2019,7,Monday,No,8,40,14,27,14.7,55
6/19/2019,8,Monday,No,9,40,14,28,14.7,55
6/20/2019,9,Monday,No,7,40,14,29,14.7,56
6/21/2019,10,Monday,No,6,40,14,29,14.7,56
6/22/2019,11,Monday,No,4,40,14,30,14.7,56
6/23/2019,12,Monday,No,4,40,14,30,14.7,56
6/24/2019,13,Monday,No,4,40,14,30,14.7,56
6/25/2019,14,Monday,No,8,40,14,30,14.7,56
6/26/2019,15,Monday,No,8,40,14,29,14.7,56
6/27/2019,16,Monday,Yes,6,40,14,29,14.7,56
6/28/2019,17,Monday,No,7,40,14,28,14.7,56
6/29/2019,18,Monday,No,8,40,14,27,14.7,56
6/30/2019,19,Monday,No,9,40,14,27,14.7,71
7/1/2019,20,Monday,No,6,40,14,26,14.7,73
7/2/2019,21,Monday,No,6,40,14,26,14.7,72
7/3/2019,22,Monday,No,5,40,14,25,14.7,75
7/4/2019,6,Tuesday,No,5,40,14,25,14.7,56
7/5/2019,7,Tuesday,No,8,40,14,27,14.7,55
7/6/2019,8,Tuesday,No,9,40,14,28,14.7,55
7/7/2019,9,Tuesday,No,7,40,14,29,14.7,56
7/8/2019,10,Tuesday,No,6,40,14,29,14.7,56
7/9/2019,11,Tuesday,No,4,40,14,30,14.7,56
7/10/2019,12,Tuesday,No,4,40,14,30,14.7,56
7/11/2019,13,Tuesday,No,4,40,14,30,14.7,56
7/12/2019,14,Tuesday,No,8,40,14,30,14.7,56
7/13/2019,15,Tuesday,No,8,40,14,29,14.7,56
7/14/2019,16,Tuesday,Yes,6,40,14,29,14.7,56
7/15/2019,17,Tuesday,No,7,40,14,28,14.7,56
7/16/2019,18,Tuesday,No,8,40,14,27,14.7,56
7/17/2019,19,Tuesday,No,9,40,14,27,14.7,71
7/18/2019,20,Tuesday,No,6,40,14,26,14.7,73
7/19/2019,21,Tuesday,No,6,40,14,26,14.7,72
7/20/2019,22,Tuesday,No,5,40,14,25,14.7,75
7/21/2019,6,Sunday,No,7,40,0,25,1.2,9
7/22/2019,6,Sunday,No,9,40,0,25,1.2,11
7/23/2019,6,Sunday,No,3,40,1,25,1.2,8
7/24/2019,6,Sunday,No,2,40,0,25,1.2,3
7/25/2019,6,Sunday,No,2,40,1,25,3,3
7/26/2019,17,Sunday,No,9,40,1,25,3,12
7/27/2019,17,Sunday,No,9,40,4,25,4.7,19
7/28/2019,17,Sunday,No,3,40,4,25,4.7,12
7/29/2019,17,Sunday,No,6,40,4,25,4.7,15
7/30/2019,6,Sunday,No,7,40,9,25,7.5,34
7/31/2019,6,Sunday,No,9,40,9,25,7.5,39
8/1/2019,6,Sunday,No,5,40,9,25,7.5,30
8/2/2019,6,Monday,No,5,40,12,25,10.1,36
8/3/2019,6,Monday,No,9,40,12,25,10.1,43
8/4/2019,6,Monday,No,3,40,12,25,10.1,33
8/5/2019,13,Monday,No,5,40,12,25,10.1,36
8/6/2019,13,Monday,No,9,40,12,25,10.1,43
8/7/2019,13,Monday,No,3,40,12,25,10.1,33
